date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
05:45:36	79040/79040	---M--	200	added ('OK')	image/png	etag:%223840e4e-134c0-57527ad1bae00%22	http://petrogas-energy.com/wp-content/uploads/2018/09/fin.png	C:/Users/hp/Documents/Projects/Html/Petrogas/petrogas-energy.com/wp-content/uploads/2018/09/fin.png	(from http://petrogas-energy.com/operations/)
05:46:31	336255/336255	---M--	200	added ('OK')	image/png	etag:%223840e1d-5217f-5755a8667a880%22	http://petrogas-energy.com/wp-content/uploads/2018/09/l8.png	C:/Users/hp/Documents/Projects/Html/Petrogas/petrogas-energy.com/wp-content/uploads/2018/09/l8.png	(from http://petrogas-energy.com/facilities/)
05:46:40	51330/51330	---M--	200	added ('OK')	image/jpeg	etag:%223840d2c-c882-575492fe2ac00%22	http://petrogas-energy.com/wp-content/uploads/2018/09/z1-2.jpg	C:/Users/hp/Documents/Projects/Html/Petrogas/petrogas-energy.com/wp-content/uploads/2018/09/z1-2.jpg	(from http://petrogas-energy.com/facilities/)
05:46:51	834054/834054	---M--	200	added ('OK')	image/png	etag:%223840e4a-cba06-57527d5299600%22	http://petrogas-energy.com/wp-content/uploads/2018/09/dessfiles.png	C:/Users/hp/Documents/Projects/Html/Petrogas/petrogas-energy.com/wp-content/uploads/2018/09/dessfiles.png	(from http://petrogas-energy.com/operations/)
05:46:59	527574/527574	---M--	200	added ('OK')	image/png	etag:%223840dcc-80cd6-575495757fd80%22	http://petrogas-energy.com/wp-content/uploads/2018/09/l7.png	C:/Users/hp/Documents/Projects/Html/Petrogas/petrogas-energy.com/wp-content/uploads/2018/09/l7.png	(from http://petrogas-energy.com/facilities/)
05:47:21	673319/673319	---M--	200	added ('OK')	image/png	etag:%223840dec-a4627-575289c997e80%22	http://petrogas-energy.com/wp-content/uploads/2018/09/dessfile3.png	C:/Users/hp/Documents/Projects/Html/Petrogas/petrogas-energy.com/wp-content/uploads/2018/09/dessfile3.png	(from http://petrogas-energy.com/facilities/)
05:47:27	25138/25138	---M--	200	added ('OK')	image/jpeg	etag:%223840cfa-6232-57528bdfa6a80%22	http://petrogas-energy.com/wp-content/uploads/2018/09/e.jpg	C:/Users/hp/Documents/Projects/Html/Petrogas/petrogas-energy.com/wp-content/uploads/2018/09/e.jpg	(from http://petrogas-energy.com/facilities/)
05:47:29	2214/2214	---MC-	200	added ('OK')	application/json	date:Wed,%2018%20Aug%202021%2012:47:28%20GMT	http://petrogas-energy.com/wp-json/oembed/1.0/embed?url=http%3A%2F%2Fpetrogas-energy.com%2Fblog-standard%2F	C:/Users/hp/Documents/Projects/Html/Petrogas/petrogas-energy.com/wp-json/oembed/1.0/embed06bb.json	(from http://petrogas-energy.com/blog-standard/)
05:47:30	718/718	---MC-	200	added ('OK')	application/rss+xml	etag:%22729525e3ba14a4ff97bdb807953b8745%22	http://petrogas-energy.com/blog-standard/feed/	C:/Users/hp/Documents/Projects/Html/Petrogas/petrogas-energy.com/blog-standard/feed/index.html	(from http://petrogas-energy.com/blog-standard/)
05:47:31	2311/2311	---MC-	200	added ('OK')	text/xml	date:Wed,%2018%20Aug%202021%2012:47:31%20GMT	http://petrogas-energy.com/wp-json/oembed/1.0/embed?url=http%3A%2F%2Fpetrogas-energy.com%2Fblog-standard%2F&format=xml	C:/Users/hp/Documents/Projects/Html/Petrogas/petrogas-energy.com/wp-json/oembed/1.0/embed22e9	(from http://petrogas-energy.com/blog-standard/)
05:47:32	0/0	---M--	301	error ('Moved%20Permanently')	text/html	date:Wed,%2018%20Aug%202021%2012:47:33%20GMT	http://petrogas-energy.com/?p=2040	C:/Users/hp/Documents/Projects/Html/Petrogas/petrogas-energy.com/indexdb79.html	(from http://petrogas-energy.com/blog-standard/)
